id,richness,links,connectance,complexity,distance,basal,top,S1,S2,S4,S5
AkatoreB,13,17,0.10059171597633136,0.9182440876022104,2.0,4.0,8.0,0.0,2.0,35.0,12.0
Berwick,17,24,0.08304498269896193,0.918257861202013,2.0,6.0,8.0,2.0,2.0,51.0,30.0
Blackrock,23,36,0.06805293005671077,0.8933383081045435,2.0,2.0,14.0,5.0,12.0,157.0,12.0
Broad,23,39,0.07372400756143667,0.8842770283887883,3.0,5.0,13.0,8.0,6.0,86.0,30.0
Canton,22,46,0.09504132231404959,0.8713911100596567,2.0,3.0,14.0,28.0,19.0,137.0,36.0
Catlins,17,21,0.0726643598615917,0.8923789486357656,2.0,6.0,11.0,0.0,0.0,47.0,17.0
Dempsters,45,149,0.07358024691358024,0.9185961475818897,3.0,7.0,20.0,92.0,112.0,665.0,301.0
German,20,44,0.11,0.8672215307376475,2.0,2.0,14.0,1.0,15.0,129.0,21.0
Healy,30,73,0.0811111111111111,0.9146549771303849,2.0,4.0,13.0,24.0,56.0,242.0,128.0
Kyeburn,23,35,0.0661625708884688,0.874546493806858,2.0,4.0,14.0,5.0,12.0,142.0,26.0
Little,27,59,0.08093278463648834,0.8935131638651582,2.0,5.0,18.0,18.0,22.0,246.0,66.0
Narrowdale,16,18,0.0703125,0.9035652374822082,2.0,9.0,6.0,1.0,0.0,13.0,28.0
NorthCol,29,49,0.05826397146254459,0.8869695930098346,3.0,6.0,11.0,10.0,14.0,228.0,101.0
Powder,18,35,0.10802469135802469,0.8692204982550503,2.0,3.0,9.0,6.0,14.0,87.0,48.0
Stony,29,52,0.06183115338882283,0.8832042847277842,2.0,4.0,18.0,3.0,10.0,189.0,36.0
Sutton,20,23,0.0575,0.8558248977138363,2.0,1.0,16.0,4.0,2.0,138.0,2.0
Venlaw,22,29,0.05991735537190083,0.9224983200064363,2.0,6.0,11.0,5.0,6.0,71.0,23.0
