id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
12,random,0.016818576388888888,0.9679665591328198,3.0,18.0,21.0,216.0,3.0,109.0,101.0
12,niche,0.01728395061728395,0.9556345966201317,2.0,31.0,25.0,117.0,10.0,100.0,339.0
12,cascade,0.016658790170132325,0.9619399690977828,3.0,25.0,33.0,113.0,5.0,136.0,123.0
12,hierarchy,0.014794408733802673,0.9743935070362282,1.0,12.0,24.0,170.0,2.0,130.0,64.0
12,maxent,0.014704440741103813,0.9272563446591833,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.0348,0.963459793698633,1.0,5.0,6.0,118.0,3.0,47.0,49.0
13,niche,0.0392156862745098,0.9463955816947294,2.0,18.0,10.0,127.0,6.0,131.0,213.0
13,cascade,0.03595585617657529,0.9590795883867806,6.0,14.0,11.0,113.0,7.0,95.0,130.0
13,hierarchy,0.03155006858710562,0.9754012924820662,1.0,5.0,6.0,120.0,0.0,69.0,54.0
13,maxent,0.03365384615384615,0.9384386917207501,2.0,14.0,38.0,0.0,0.0,401.0,153.0
18,random,0.0576,0.9722876086265357,2.0,4.0,4.0,23.0,0.0,6.0,21.0
18,niche,0.04861111111111111,0.9681396341121954,2.0,11.0,6.0,18.0,1.0,10.0,23.0
18,cascade,0.05229591836734694,0.9589065591600587,3.0,8.0,5.0,32.0,3.0,22.0,30.0
18,hierarchy,0.04518430439952437,0.9623739933529978,2.0,6.0,9.0,36.0,1.0,29.0,17.0
18,maxent,0.04518430439952437,0.9381949572336291,2.0,11.0,18.0,0.0,0.0,79.0,47.0
15,random,0.012294292211045593,0.9585259822480653,4.0,6.0,8.0,2956.0,34.0,1483.0,1437.0
15,niche,0.013491312096235242,0.9372586366380807,2.0,69.0,38.0,2061.0,78.0,2047.0,3718.0
15,cascade,0.010994897959183673,0.9540902015369955,6.0,47.0,49.0,1708.0,44.0,1704.0,1725.0
15,hierarchy,0.01215561224489796,0.9630881054594932,1.0,18.0,7.0,2875.0,50.0,1513.0,1535.0
15,maxent,0.01211734693877551,0.933745106021547,2.0,200.0,80.0,0.0,0.0,4602.0,11547.0
3259,random,0.1375,0.9267888265469587,2.0,1.0,2.0,35.0,3.0,22.0,19.0
3259,niche,0.1575,0.8596836088411713,2.0,5.0,4.0,45.0,3.0,35.0,42.0
3259,cascade,0.14,0.9193842633224075,3.0,2.0,2.0,67.0,29.0,62.0,69.0
3259,hierarchy,0.1275,0.943780011597969,2.0,6.0,1.0,22.0,2.0,10.0,17.0
3259,maxent,0.15,0.9170784547881264,2.0,3.0,6.0,30.0,24.0,93.0,64.0
908,random,0.03854875283446712,0.9641664128076385,2.0,6.0,6.0,53.0,0.0,22.0,30.0
908,niche,0.03393351800554017,0.9480385216361924,2.0,17.0,12.0,30.0,6.0,30.0,63.0
908,cascade,0.043125,0.956430853829185,3.0,5.0,10.0,76.0,8.0,65.0,46.0
908,hierarchy,0.035147392290249435,0.9666414888513575,2.0,5.0,9.0,75.0,3.0,40.0,28.0
908,maxent,0.03407247160627366,0.928780215076283,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.08024691358024691,0.9641082220142992,1.0,4.0,2.0,16.0,3.0,7.0,11.0
